Id,CreationTime,CreationTimeUTC,RecordType,Operation,OrganizationId,UserType,UserKey,Workload,UserId,ClientIP,UserAgent,Activity,ItemName,WorkSpaceName,DashboardName,DatasetName,ReportName,WorkspaceId,ObjectId,DashboardId,DatasetId,ReportId,OrgAppPermission,CapacityId,CapacityName,AppName,IsSuccess,ReportType,RequestId,ActivityId,AppReportId,DistributionMethod,ConsumptionMethod,RetrieveDate,createdDate_month,createdDate_year,createdDate_day
4c664ca2-a6d1-47c5-9f5a-6261a8ae602f,2022-08-05 00:46:51+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032000F0E5F9E9,PowerBI,nichollshazel@example.com,90.253.65.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,27dc4cce-e443-dcc5-30f5-28a4c3e3f0f4,2d396ae4-f598-435e-8311-12caff20970b,,,,05/08/2022 10:36:43,8,2022,5
587f9164-a693-449a-ab5b-8f1d97afaf39,2022-08-05 00:18:53+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFF935FA5CE,PowerBI,aross@example.com,86.159.247.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36 Edg/103.0.1264.77",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,817d9f8c-f134-7da3-47ef-6a6b3308b7df,e64df490-ed83-4729-850b-f5c6aabb4621,,,,05/08/2022 10:36:43,8,2022,5
d362c832-6def-4673-9896-9e1f5e880749,2022-08-05 01:47:44+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFF935FA5CE,PowerBI,aross@example.com,86.159.247.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36 Edg/103.0.1264.77",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,c935f75d-059c-b07c-2a62-ea04ddcd6e24,e64df490-ed83-4729-850b-f5c6aabb4621,,,,05/08/2022 10:36:43,8,2022,5
07b4f537-2a30-49c1-a648-eef89a8a8d87,2022-08-05 01:31:34+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032000F0E5F9E9,PowerBI,nichollshazel@example.com,90.253.65.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,3663fac1-e638-201b-4e79-fb55bdde354d,2d396ae4-f598-435e-8311-12caff20970b,,,,05/08/2022 10:36:43,8,2022,5
ce40ea50-1773-4216-820e-1bdf446c4123,2022-08-05 02:21:35+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032000F0E5F9E9,PowerBI,nichollshazel@example.com,90.253.65.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,9444e24e-d0e7-8a52-50e0-df2867c7f749,2d396ae4-f598-435e-8311-12caff20970b,,,,05/08/2022 10:36:43,8,2022,5
374d6d11-5746-41c7-814c-8d88e98d3923,2022-08-05 02:47:44+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFF935FA5CE,PowerBI,aross@example.com,86.159.247.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36 Edg/103.0.1264.77",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,75fc61db-5a7c-7472-85a4-45ebe2488c45,e64df490-ed83-4729-850b-f5c6aabb4621,,,,05/08/2022 10:36:43,8,2022,5
2967b6c0-5ae6-4ef4-b4c3-a99aa0913a36,2022-08-05 03:38:58+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFF935FA5CE,PowerBI,aross@example.com,86.159.247.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36 Edg/103.0.1264.77",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,653e23ef-cebd-42fe-0371-12bbf1230be5,e64df490-ed83-4729-850b-f5c6aabb4621,,,,05/08/2022 10:36:43,8,2022,5
380f3400-72cf-411d-bf24-543c3066bfbf,2022-08-05 03:46:51+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032000F0E5F9E9,PowerBI,nichollshazel@example.com,90.253.65.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,a5d08cd9-7341-e3bc-427c-ff0693cdfbad,2d396ae4-f598-435e-8311-12caff20970b,,,,05/08/2022 10:36:43,8,2022,5
a09581cd-fe3f-4911-a46e-2942f696df2d,2022-08-05 04:47:44+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFF935FA5CE,PowerBI,aross@example.com,86.159.247.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36 Edg/103.0.1264.77",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,4a06832b-5504-970c-2f3d-9536beb1fdac,e64df490-ed83-4729-850b-f5c6aabb4621,,,,05/08/2022 10:36:43,8,2022,5
c029c85f-f2c7-449e-b1ec-99be29d638af,2022-08-05 05:41:39+00:00,,20,GenerateCustomVisualAADAccessToken,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032000F0E5F9E9,PowerBI,nichollshazel@example.com,90.253.65.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",GenerateCustomVisualAADAccessToken,,oskeqquntf,,,bevnngwosz,,,,,,,,,,True,,698d407e-ca24-66a0-7c55-8fb105a32708,2d396ae4-f598-435e-8311-12caff20970b,,,,05/08/2022 10:36:43,8,2022,5
