UserId,UserKey,WorkSpaceName,WorkspaceId,ReportName,ReportId,Activity,count,min,max,lengthOfDays_withActivity,lengthOfDays_since_lastActive,lengthOfDays_since_firstRecord,frequency,%_time_inactiveFor
aaron14@example.org,100300009C37523D,kacctydrvl,e1b945e5-9e7d-40f7-a037-8f8d1e5cde79,avezeywxoy,44cda3d5-77a5-45e9-b596-7def26fdab6d,ViewReport,3,2022-07-21 14:33:10+00:00,2022-07-21 15:32:03+00:00,1.0,146.0,146.0,2336.11,99.315
aaron14@example.org,100300009C37523D,kacctydrvl,e1b945e5-9e7d-40f7-a037-8f8d1e5cde79,hbtohnbqhf,4d85e424-9af0-4a7f-b874-5f410407f507,ViewReport,2,2022-07-21 07:22:06+00:00,2022-07-21 14:54:07+00:00,1.0,146.0,146.0,5256.25,99.315
aaron14@example.org,100300009C37523D,kacctydrvl,e1b945e5-9e7d-40f7-a037-8f8d1e5cde79,mvwgtbbwrh,d8aed01d-d910-4baa-a59e-fb2f2c5047ec,ViewReport,1,2022-07-21 14:32:29+00:00,2022-07-21 14:32:29+00:00,1.0,146.0,146.0,21025.0,99.315
aaron14@example.org,100300009C37523D,kacctydrvl,e1b945e5-9e7d-40f7-a037-8f8d1e5cde79,vtlkbzpylz,e621218e-1abf-453a-9856-28900a5fb0fc,ViewReport,1,2022-07-21 13:48:27+00:00,2022-07-21 13:48:27+00:00,1.0,146.0,146.0,21025.0,99.315
aaron14@example.org,100300009C37523D,kacctydrvl,e1b945e5-9e7d-40f7-a037-8f8d1e5cde79,yatgdqzkvq,80ffdcac-8e29-421b-a1b3-b06d7ac6dc1c,ViewReport,1,2022-07-21 11:38:31+00:00,2022-07-21 11:38:31+00:00,1.0,146.0,146.0,21025.0,99.315
aaron14@example.org,100300009C37523D,rjavcnzouo,4c22dc06-3ee0-4b45-bc33-61916f26f956,tjiyrtircf,c79fb8e2-fc6a-4a04-8204-29f11d15e8ef,ViewReport,1,2022-07-21 07:07:46+00:00,2022-07-21 07:07:46+00:00,1.0,146.0,146.0,21025.0,99.315
aaron41@example.org,1003BFFD8CDAEBED,vbyrzhrieq,cb79c7b6-5b03-423b-a9d6-7b23bbe3fc86,hrikfliofn,fbb1c9a8-e23c-452f-9420-3b008f5f5f6a,ViewReport,1,2022-08-18 16:27:24+00:00,2022-08-18 16:27:24+00:00,1.0,118.0,118.0,13689.0,99.153
aaron52@example.org,10032001677F9378,eqgjofzbvo,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,nzocpatxsn,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,ViewReport,3,2022-09-01 09:14:20+00:00,2022-09-01 13:33:44+00:00,1.0,104.0,104.0,1178.78,99.038
aaron52@example.org,10032001677F9378,mcgkhugglm,4721e86e-0134-4af4-96fb-1d35c96ef1ed,topiaalqvj,e8389680-dfeb-4508-9542-2ad45564fbd7,ViewReport,1,2022-09-01 15:15:59+00:00,2022-09-01 15:15:59+00:00,1.0,104.0,104.0,10609.0,99.038
aaron52@example.org,1003200178807516,nhvzvjqhxt,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,iopafnycwe,c8780f9b-9030-42ad-b869-5b1af9fa51b1,ViewReport,1,2022-08-26 08:05:43+00:00,2022-08-26 08:05:43+00:00,1.0,110.0,110.0,11881.0,99.091
aaron52@example.org,1003200178807516,nhvzvjqhxt,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,zfwxeazmbl,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,ViewReport,4,2022-08-26 08:06:09+00:00,2022-08-26 12:30:33+00:00,1.0,110.0,110.0,742.56,99.091
aaron62@example.org,1003200178987356,kfejpjgdgq,819c5df5-7041-4319-943f-07f82d1045ec,sgovfehxyu,65d4bb1f-fd49-49a4-87f9-fe47ec1f289c,ExportArtifact,1,2022-09-12 12:32:07+00:00,2022-09-12 12:32:07+00:00,1.0,93.0,93.0,8464.0,98.925
aaron62@example.org,1003200178987356,kfejpjgdgq,819c5df5-7041-4319-943f-07f82d1045ec,sgovfehxyu,65d4bb1f-fd49-49a4-87f9-fe47ec1f289c,ViewReport,9,2022-09-12 12:18:06+00:00,2022-09-12 12:31:57+00:00,1.0,93.0,93.0,104.49,98.925
aaron86@example.org,10032001E9454506,vgappqamqc,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,wsdryryemk,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,ViewReport,2,2022-08-18 08:38:05+00:00,2022-08-18 09:14:25+00:00,1.0,118.0,118.0,3422.25,99.153
aaronhall@example.org,10032001FB6D92DD,pkvkgejigy,1325714e-f133-46a9-a8ae-17fe4fec9ec4,lampchwisv,086b2d9a-d3d3-4abc-bf99-16295da8277e,ExportReport,1,2022-09-06 18:29:13+00:00,2022-09-06 18:29:13+00:00,1.0,99.0,99.0,9604.0,98.99
